300
188 293
8 89 0 90 1384099 117 866998 143 715138 170 794659 196 1217733 223 1408833 224 0
0
10 2 995 149
14 17 0 18 1746416 44 1381443 69 1700671 95 1972337 121 2134958 146 2020003 172 1267462 197 832955 223 1009437 249 984454 274 1011822 300 555302 301 0
0
11 2 1025 89
14 32 0 33 1676462 57 2207850 81 1439945 105 1545978 129 1196537 153 733937 178 885197 202 1512799 226 2670540 250 1795775 274 1898137 298 1669140 299 0
0
12 2 630 81
11 77 0 78 1513954 103 2131737 127 2936782 152 1384095 177 1714799 202 1320032 227 1421265 251 1262318 276 803603 277 0
1 11
13 2 908 46
12 45 0 46 782235 71 1275485 97 1841073 122 2147538 148 1755508 173 1641180 199 1074245 224 1016709 250 1153217 275 1543862 276 0
2 12 11
14 2 874 20
13 4 0 5 933603 29 937689 54 1077154 78 1434633 102 2298789 127 1799519 151 1461349 175 811231 199 1154139 224 983445 248 891306 249 0
0
15 2 910 137
11 4 0 5 1615656 31 1495377 57 1035112 83 1059516 109 1397734 135 1155856 161 1353871 187 2736211 213 1935115 214 0
1 14
16 2 1419 25
9 43 0 44 2146366 70 1385402 95 1591194 121 1377640 147 1606457 172 1452486 198 1499862 199 0
0
17 2 936 142
7 168 0 169 518474 196 942980 223 1981635 249 1329686 276 1428154 277 0
1 16
18 2 1442 151
14 5 0 6 649592 30 469036 54 500474 78 567096 102 907579 126 877769 150 1267833 174 842485 198 1379752 222 1962869 246 1722959 270 2433528 271 0
0
19 2 1296 67
12 39 0 40 1994473 64 2098542 88 2217247 113 2392795 137 2372689 161 1573318 185 1242165 210 1176994 234 808670 258 651381 259 0
2 20 18
20 2 1271 32
8 0 0 1 1672385 25 1816935 48 3159813 72 1693918 95 1611750 119 855414 120 0
0
21 2 614 86
10 2 0 3 1801957 27 1928247 52 1028689 76 598888 101 493882 125 374015 150 369882 174 566192 175 0
0
22 2 895 60
8 49 0 50 1660755 74 1621662 98 1688359 121 1414314 145 1949299 169 1309971 170 0
1 21
23 2 1412 179
9 57 0 58 2493124 81 2151257 105 1605806 128 1116172 151 1224355 175 1442419 198 1265790 199 0
2 22 21
24 2 1359 45
11 15 0 16 1520441 40 1120279 63 1634438 87 1440964 111 1176075 135 1088692 159 932491 182 871689 206 842259 207 0
2 23 21
25 2 1414 142
10 124 0 125 2951481 150 1555431 175 1407768 200 1581583 224 1294208 249 1121867 274 1456746 299 1065816 300 0
0
26 2 1270 1
13 20 0 21 631349 45 976144 69 1455450 93 1861441 117 1824996 141 2387321 166 931218 190 935303 214 1271583 238 2369916 262 2004067 263 0
0
27 2 604 178
9 7 0 8 425613 31 501879 54 831641 77 1180832 101 1526661 124 1455615 147 793779 148 0
1 26
28 2 686 65
8 148 0 149 2646388 175 2093481 200 1680918 226 988311 251 748768 277 646109 278 0
0
29 2 1321 159
14 9 0 10 1333834 35 1100997 59 1552907 84 1476497 109 1487232 133 1673348 158 2296603 182 2748236 207 2340865 232 2317686 256 2496978 281 2315165 282 0
1 28
30 2 1394 133
13 48 0 49 2052511 74 1232643 99 1317160 123 1014560 148 1162822 173 1436578 198 1264578 223 1752030 247 1404179 272 1240330 297 460719 298 0
2 29 28
31 2 1376 130
9 129 0 130 2031889 153 1732352 176 1936623 199 1040236 221 622216 244 527299 267 275073 268 0
0
32 2 1178 16
13 31 0 32 3363417 57 3575731 82 2053732 107 1361816 132 1411956 157 895141 182 1279171 207 1307545 232 1124919 257 895737 282 587209 283 0
2 34 31
33 2 1309 83
8 68 0 69 1340067 92 1108846 114 814726 137 656291 159 907925 182 1174785 183 0
0
34 2 596 73
7 65 0 66 1636109 91 2207587 116 2204123 141 1982733 166 1379383 167 0
1 33
35 2 1216 104
14 15 0 16 2267547 40 3518833 64 2222006 88 1581295 112 1477183 136 1286544 161 1370369 185 1217881 209 834869 233 430116 257 443660 281 365960 282 0
0
36 2 1140 84
10 70 0 71 1504426 95 1938635 120 2732422 144 1643839 169 1452660 193 1741714 218 2587537 242 810325 243 0
1 35
37 2 1133 27
7 17 0 18 1179610 44 1054027 69 1059193 95 1131812 121 969371 122 0
0
38 2 1294 30
10 23 0 24 165015 48 362693 71 549944 95 666261 118 1095572 142 1868927 165 2017935 189 2438892 190 0
2 39 37
39 2 1467 141
12 71 0 72 1215794 97 1538231 121 956546 146 981730 170 2012955 195 1669246 219 1694536 244 1416682 268 1567793 293 2366561 294 0
0
40 2 1046 118
9 21 0 22 1374799 47 791549 72 1239704 97 1759358 123 1167283 148 758238 173 785672 174 0
0
41 2 870 76
9 141 0 142 1143990 165 1483148 188 2055049 211 2816945 234 2298965 257 1287746 280 2117962 281 0
1 40
42 2 729 156
11 80 0 81 1271623 105 1372589 129 2287304 153 1943493 177 2228462 202 2820247 226 1794126 250 1755162 274 1807732 275 0
1 41
43 2 1149 73
9 61 0 62 1350034 85 1963119 109 1554452 132 1432419 155 1564528 179 1768737 202 1423398 203 0
0
44 2 972 97
14 14 0 15 1400426 40 2127044 64 1686564 89 979831 114 995346 138 905676 163 563230 187 601721 212 544615 237 569750 261 599887 286 569003 287 0
0
45 2 1306 167
12 38 0 39 594566 63 1177113 87 979945 112 1022510 136 935059 160 911149 184 687939 209 1143728 233 1167987 257 1324365 258 0
1 44
46 2 1421 18
13 20 0 21 620094 47 473405 72 835322 98 2240423 124 1924929 149 3057809 175 1961965 201 1865175 227 1627016 252 2141430 278 1339567 279 0
0
47 2 731 8
13 43 0 44 1585073 69 1312731 94 1190769 119 1464029 144 2041721 169 1615010 193 1175664 218 1163226 243 1641088 268 2340910 293 2025533 294 0
0
48 2 1460 172
13 2 0 3 891759 29 728619 55 781656 81 992499 107 905881 133 1270260 158 1213972 184 1026356 210 1545768 236 1102111 262 684043 263 0
1 47
49 2 772 66
14 7 0 8 515457 34 485216 60 695540 86 916626 112 669209 138 1027876 164 1278497 190 1440000 216 1844956 242 2350755 268 2944697 294 1488751 295 0
0
50 2 550 91
13 23 0 24 1032873 49 890969 73 858028 98 1513881 122 970943 147 1536204 172 948401 196 914867 221 859006 245 656569 270 845046 271 0
0
51 2 610 143
9 86 0 87 1615275 113 1052439 140 1632975 167 1523729 193 1653577 219 2231080 246 2280637 247 0
1 50
52 2 1437 35
9 84 0 85 1535777 110 1071061 134 1130159 159 1396310 184 1179832 208 1469603 233 1408494 234 0
1 51
53 2 882 107
11 56 0 57 1824668 83 1229656 108 1233763 133 1863402 159 858075 185 1461770 210 1479078 235 907842 261 516409 262 0
1 51
54 2 659 13
13 34 0 35 823131 59 762696 83 826960 108 1225427 132 1667186 156 1504073 180 2140294 204 2384345 229 1677865 253 1569989 277 2049627 278 0
0
55 2 606 50
10 103 0 104 906502 130 778507 156 1860198 182 2023023 208 1941082 234 1195578 260 1003152 286 1519896 287 0
0
56 2 773 58
10 26 0 27 1174265 52 903388 76 932119 101 1127021 125 869704 150 779913 174 1175159 199 1065225 200 0
1 55
57 2 1009 125
8 170 0 171 740257 197 880606 222 1100784 248 1523457 273 1449826 299 2135178 300 0
0
58 2 975 116
13 58 0 59 2445212 83 1302325 107 1208651 131 792769 155 1337956 179 1940692 202 1451396 226 875449 250 717975 274 1333745 298 1302208 299 0
0
59 2 1399 52
9 96 0 97 1596431 122 1776643 147 1041427 173 1162672 198 1461404 223 1071495 248 1291792 249 0
1 58
60 2 577 127
9 105 0 106 1979845 132 1717539 158 1043741 185 1024163 211 942785 237 961590 263 540555 264 0
2 59 58
61 2 1155 84
8 58 0 59 1707007 86 1637979 113 1155284 141 1428427 168 1781612 195 1414802 196 0
2 60 58
62 2 683 48
9 30 0 31 1379749 57 817954 84 1015628 111 807318 137 1264284 163 983362 190 1449734 191 0
0
63 2 913 14
10 28 0 29 2017489 55 2038863 81 942780 107 1087067 133 577171 159 695235 185 844910 211 754599 212 0
1 62
64 2 1332 108
8 98 0 99 1503759 122 1584984 144 1627551 167 1376363 189 1366900 212 1242362 213 0
0
65 2 1353 174
10 79 0 80 1600965 103 721518 127 721735 150 748807 174 915330 197 1023874 221 972531 244 1319672 245 0
1 64
66 2 1182 2
11 90 0 91 1499504 116 1454033 141 1191303 167 1108058 192 1274501 217 1249541 243 1101429 268 781627 293 731974 294 0
0
67 2 1059 108
8 154 0 155 1351085 179 1425511 203 1490032 228 1456568 252 1357862 276 1760299 277 0
1 66
68 2 688 7
14 12 0 13 1724944 37 1039875 61 1442656 85 1786384 109 2156021 133 1744927 157 1478646 181 1954592 205 1288305 229 1075725 253 723025 277 604784 278 0
0
69 2 1276 100
8 141 0 142 649049 168 907413 195 1754981 221 1850791 248 1112954 274 1653081 275 0
2 70 68
70 2 1304 135
11 63 0 64 411783 88 341603 113 231634 137 367955 161 575019 186 873223 210 1439014 235 1825846 259 1745358 260 0
0
71 2 621 183
9 73 0 74 2053406 98 1955053 122 1421312 147 967993 171 988453 195 990897 219 1071530 220 0
0
72 2 1328 22
13 20 0 21 1113137 45 1045053 70 756439 94 536543 118 990852 143 1519498 167 1286639 191 1636750 215 2604495 240 1939537 264 2940602 265 0
0
73 2 1264 105
8 5 0 6 382521 32 320173 58 516255 83 1022177 109 1108797 135 2504185 136 0
1 72
74 2 1425 173
8 128 0 129 1438940 153 1773799 177 1650792 202 1326595 226 2466224 250 2257582 251 0
2 73 72
75 2 1499 182
11 27 0 28 192120 52 212411 76 589358 100 1038459 124 810689 148 1499367 172 1862274 196 1899186 220 1735729 221 0
0
76 2 1374 60
8 131 0 132 881191 156 1265498 181 1513952 205 1116093 230 935370 254 994346 255 0
1 75
77 2 727 69
13 27 0 28 866313 54 1533065 79 1011123 105 1045255 131 1434861 157 1481632 182 2172768 208 2203823 234 2546045 259 2645427 285 1968730 286 0
0
78 2 1072 62
15 0 0 1 2369926 26 2007932 51 1952363 76 1615158 101 1026396 126 891482 151 1267525 175 625707 200 593862 225 569975 250 697051 275 610552 300 596849 301 0
1 77
79 2 1159 135
12 52 0 53 902525 77 805808 101 881997 125 718439 149 743875 173 1216008 197 1602773 221 1516314 245 1507732 269 2072273 270 0
0
80 2 1178 88
11 56 0 57 1086846 81 831743 106 1053069 131 1059092 155 1222035 179 1640064 204 1087108 229 2348098 253 2515837 254 0
0
81 2 1355 111
13 38 0 39 459272 63 672134 87 594677 112 1388857 136 1170091 160 1140179 184 1499825 208 1919073 233 996825 257 753410 281 946682 282 0
1 80
82 2 1256 6
8 90 0 91 2125418 115 1097170 139 1136530 163 1334671 187 1833461 211 2111532 212 0
0
83 2 1475 24
7 11 0 12 595983 37 1112782 63 1117764 88 1339799 113 1441930 114 0
1 82
84 2 1381 160
13 5 0 6 1731850 30 1141579 54 1650993 79 2080834 103 2157699 127 1562768 151 1609847 175 1520316 200 1489835 224 1289374 248 1273764 249 0
2 83 82
85 2 1243 133
12 3 0 4 258289 30 421273 56 589651 82 777834 108 1778398 133 3029140 159 2764137 185 2543479 211 1876775 237 1750428 238 0
0
86 2 626 115
11 12 0 13 2773859 38 1672414 63 1410035 89 1352706 114 1374504 139 1584318 165 1251585 190 1935290 215 2802312 216 0
1 85
87 2 1495 21
11 40 0 41 1834158 67 1249922 92 1298656 117 1237394 143 1051598 169 630384 194 717429 219 1486884 245 1321861 246 0
0
88 2 644 137
12 46 0 47 883350 73 1029295 99 1155357 125 934563 151 1340570 176 1238997 202 1607918 228 1607179 254 1403559 280 1574014 281 0
0
89 2 821 58
11 45 0 46 885534 70 872338 93 1707165 117 1824404 141 2176522 164 1844466 188 1905960 211 2595364 235 2589105 236 0
0
90 2 539 162
12 18 0 19 704183 45 725121 71 561962 96 515398 122 825455 148 632737 174 819441 199 1024803 225 1243387 251 3133052 252 0
0
91 2 1017 96
12 21 0 22 2907668 48 1470798 74 2241207 100 1466613 126 1771431 152 1887707 178 1413491 204 1245387 230 1377359 256 1458052 257 0
0
92 2 502 39
14 24 0 25 1463088 50 1580187 74 1286999 99 2003784 124 2125134 149 2315318 173 1624460 198 1105883 223 2555768 248 1549073 272 1496465 297 1792820 298 0
0
93 2 1437 132
9 78 0 79 1712431 106 1468218 133 1123005 159 1797710 186 1759157 213 2392781 240 1474961 241 0
0
94 2 645 112
9 117 0 118 2113778 143 1938555 168 1479362 193 1916806 217 1485210 242 1185631 267 871094 268 0
0
95 2 1331 118
8 17 0 18 1060918 43 1002831 67 1793537 92 1984584 116 2161532 141 2302553 142 0
1 94
96 2 884 42
8 82 0 83 2691343 105 1983163 128 1242203 150 1876444 173 1419056 195 1078967 196 0
2 95 94
97 2 1146 94
14 14 0 15 855081 40 1083286 66 1188056 91 857645 116 1353624 142 1581813 167 1676677 193 1635218 218 1612983 243 1061877 269 1083427 294 1037412 295 0
0
98 2 1415 44
11 96 0 97 1179340 122 1240288 147 2506002 173 2210171 198 1889369 223 1598554 249 1236668 274 900745 299 1018608 300 0
1 97
99 2 1397 182
9 113 0 114 2351329 137 2293164 160 2869996 183 1129959 206 1655756 229 823475 252 1322482 253 0
1 98
100 2 1291 81
14 3 0 4 1473797 28 2082820 52 2206324 76 1393585 100 1671413 124 1385535 147 1860457 171 2307810 195 1645684 219 713146 243 1090385 267 882655 268 0
0
101 2 865 33
13 29 0 30 657254 55 776038 79 485336 103 659601 128 662966 153 822051 177 1448248 201 1816155 226 2104425 251 3136038 275 2435932 276 0
1 100
102 2 1426 30
14 11 0 12 4718945 37 2631210 63 1343426 88 716453 113 638340 138 888651 164 539114 189 707831 214 727375 239 676865 265 934784 290 1255972 291 0
1 100
103 2 1482 54
13 23 0 24 1041412 49 908134 73 1363601 98 1407110 122 683535 147 719389 172 1206717 196 1806113 221 1802723 245 2655991 270 3719825 271 0
0
104 2 1421 147
8 79 0 80 2611262 106 1915540 132 2329396 159 1183967 185 885960 211 1276143 212 0
0
105 2 1101 128
8 58 0 59 950053 84 937000 109 1003486 134 851139 159 1270053 184 2031091 185 0
1 104
106 2 943 5
9 32 0 33 1633873 58 1151778 83 1431452 109 792887 134 891205 159 997714 184 862681 185 0
0
107 2 961 65
12 35 0 36 258981 61 128529 86 246995 112 397591 137 488685 162 1162907 187 967938 213 1032242 238 2608719 263 2454018 264 0
0
108 2 1258 50
10 121 0 122 1024146 145 2077924 169 1733346 192 1586420 216 1094148 239 715524 263 623317 286 354399 287 0
2 110 107
109 2 521 153
9 81 0 82 2640322 105 1391310 128 2039663 151 1458878 175 780201 198 395569 221 408625 222 0
1 107
110 2 912 133
14 2 0 3 2078987 27 2320204 51 2636846 74 1356900 98 2935569 122 1596605 146 1909910 170 2194860 194 1815940 217 1013446 241 1222448 265 1159002 266 0
0
111 2 1237 6
13 22 0 23 1335037 49 1834919 75 1368722 101 781644 127 1274656 153 882254 179 727297 205 869210 231 1996891 257 1331697 283 1242265 284 0
0
112 2 1448 158
14 13 0 14 680485 38 943170 63 1108941 87 1337326 111 1892057 135 2191254 160 2362932 184 2097922 208 2165090 232 1360964 257 1167844 281 809037 282 0
1 111
113 2 932 138
11 7 0 8 917876 32 1004838 55 981494 79 1383267 103 1586012 126 1802062 150 1182792 173 1193256 197 724676 198 0
0
114 2 1341 65
12 25 0 26 1118138 52 1200997 77 2312910 103 2165643 128 1602775 154 1508880 179 1862273 205 1519293 230 1965458 256 2926229 257 0
1 113
115 2 734 188
8 79 0 80 1783327 104 1477041 128 1149572 153 1458008 177 988248 201 558413 202 0
0
116 2 557 31
14 6 0 7 1123533 32 885104 57 1248082 82 1218104 107 1922830 132 1704328 158 1692160 183 3572053 208 1777319 233 2108633 258 1976497 283 2191763 284 0
1 115
117 2 697 122
9 136 0 137 2385707 163 3047998 189 2173709 215 1521894 241 1413348 267 1293777 293 941425 294 0
1 115
118 2 975 150
13 17 0 18 401871 44 581312 70 483414 96 561037 122 941669 148 1628704 174 1621806 200 1340532 226 1338085 252 1249777 278 1467883 279 0
0
119 2 670 122
11 1 0 2 1201103 26 1734588 50 1275897 74 979369 98 1629744 122 1506248 146 1320748 170 1411667 194 675606 195 0
2 120 118
120 2 939 168
14 8 0 9 673114 34 927584 60 1179239 85 1490934 110 2231526 135 2885389 161 2502164 186 1509083 211 2042470 236 1193333 262 1210184 287 1597305 288 0
0
121 2 1131 7
9 120 0 121 784754 144 1430109 167 1276809 189 2528143 212 1441427 235 1964123 258 1577213 259 0
0
122 2 1364 44
10 131 0 132 1135080 156 1546486 179 1531132 203 1418773 226 1150430 250 1447819 273 2004444 297 2044061 298 0
1 121
123 2 670 188
9 92 0 93 2249199 116 1991614 139 1378084 162 1161943 185 598155 208 487655 231 429181 232 0
0
124 2 953 139
12 42 0 43 1119648 69 1732257 95 1626258 122 968122 148 815066 174 1159210 200 2286174 227 1395183 253 1071500 279 1279989 280 0
0
125 2 565 173
15 0 0 1 408551 26 468081 51 715617 76 1364003 101 1005605 126 1217899 151 958012 175 1142719 200 868304 225 964456 250 1290763 275 1553764 300 2149213 301 0
1 124
126 2 1499 142
13 5 0 6 336854 30 522511 54 572229 78 692981 102 578195 126 711229 150 2239699 174 2079953 198 1343251 222 2220481 246 1618377 247 0
0
127 2 897 96
13 8 0 9 807959 34 1944639 59 1745771 84 1711104 109 1565398 134 1114293 159 1066927 184 1382777 209 1287378 234 1074421 259 886533 260 0
1 126
128 2 559 1
11 73 0 74 923547 100 1084248 126 1361981 152 1288546 177 937751 203 927864 229 984252 255 613254 281 720713 282 0
2 127 126
129 2 703 85
13 38 0 39 1586522 64 1542426 88 1876274 113 1423151 138 1155907 163 1691147 187 1321476 212 1310304 237 1229519 261 1426851 286 1772814 287 0
1 128
130 2 1297 136
14 26 0 27 2287937 52 2508951 77 2241277 101 1884092 126 1420524 151 1048824 176 1321495 201 1117401 226 1293756 250 840423 275 925747 300 503509 301 0
0
131 2 1144 49
14 27 0 28 235138 53 476092 77 678650 102 976619 127 1546641 151 2015529 176 1517049 200 1226199 225 776597 250 1279359 274 1558846 299 1228189 300 0
1 130
132 2 724 141
9 37 0 38 2070372 63 1672285 89 1622765 114 1085160 139 930203 165 719077 190 607652 191 0
1 130
133 2 556 171
10 47 0 48 1106212 73 1869429 99 2344181 124 1811162 149 1604711 174 1720016 200 1786113 225 2004683 226 0
0
134 2 899 42
9 89 0 90 1396521 117 1652362 144 1720785 171 1128514 197 759462 224 701465 251 855680 252 0
2 135 133
135 2 1064 96
7 42 0 43 2313675 68 1477354 93 1795415 119 1336986 144 894175 145 0
0
136 2 934 97
9 14 0 15 1049012 41 2042469 66 2036266 92 1463695 118 1709686 143 1663195 169 2454601 170 0
0
137 2 819 65
9 35 0 36 534277 61 605056 87 565297 113 714300 138 1401146 163 1563124 189 1099695 190 0
2 138 136
138 2 747 23
10 105 0 106 851167 131 1439116 155 1769169 180 1231948 205 967010 230 753001 254 1007950 279 967967 280 0
0
139 2 578 171
8 0 0 1 1006552 25 1108995 49 1089445 73 1216935 97 1368651 121 1519260 122 0
1 138
140 2 1207 67
15 3 0 4 732489 28 967815 52 708465 76 942636 100 1223961 124 1543198 148 1454922 172 1609330 196 1731203 220 1998323 244 2071872 268 2006078 292 1632825 293 0
0
141 2 916 114
12 4 0 5 794999 30 820760 55 911119 80 1628478 105 2320031 129 1752830 154 1474914 179 1342447 204 1094820 229 1408739 230 0
0
142 2 541 47
9 73 0 74 1390415 98 1576338 122 1573432 147 1550108 171 1267552 195 832969 219 1095840 220 0
1 141
143 2 1473 42
7 33 0 34 1543161 59 1151394 84 1010053 109 1752148 134 1499181 135 0
0
144 2 1073 30
14 16 0 17 1382441 42 1124540 67 1138289 91 807736 116 660807 141 959947 166 787442 191 1157589 216 2045002 240 1688508 265 1529512 290 2311441 291 0
1 143
145 2 1305 113
14 30 0 31 684208 55 325771 79 486299 103 606533 127 767713 151 1454072 175 1532349 199 1325563 223 1296805 247 1257575 271 1269600 295 1563587 296 0
1 143
146 2 891 78
11 92 0 93 1265798 118 768313 143 1141376 169 1285086 194 2054146 219 1028964 245 924499 270 972138 295 952735 296 0
0
147 2 1265 75
12 41 0 42 635640 66 606210 91 509749 115 977196 140 2240847 164 2653721 189 1987765 213 1091002 238 659358 262 1665794 263 0
1 146
148 2 1151 138
10 110 0 111 1071990 136 906113 161 1410675 186 1772221 210 1389545 235 1812917 260 1675009 285 1043395 286 0
0
149 2 555 55
13 33 0 34 2725911 59 1159153 84 1340459 110 1447293 135 2390487 160 2298705 185 1759698 210 1134776 236 1368153 261 1828345 286 1478026 287 0
1 148
150 2 561 139
12 14 0 15 1037969 40 1348613 66 2403230 91 1372390 117 1073057 142 914553 168 738693 193 1470901 219 1769783 244 1624089 245 0
0
151 2 1131 179
12 11 0 12 962245 37 1387573 62 1287929 88 837339 113 980300 138 584468 163 962984 189 1041323 214 869671 239 1183920 240 0
1 150
152 2 1202 149
15 10 0 11 678169 35 1130242 59 1048827 83 1300862 107 1863037 131 1480407 155 1830770 180 2479431 204 2008137 228 1723142 252 1753777 276 1663323 300 1832581 301 0
0
153 2 1258 166
12 26 0 27 3186870 52 2342946 76 1020188 101 1109932 126 1010530 150 941017 175 1080608 200 1749254 224 993755 249 1192238 250 0
1 152
154 2 1455 139
7 170 0 171 1840284 196 1613621 221 1861458 245 1680231 270 1150019 271 0
0
155 2 613 61
12 45 0 46 3862504 71 2456411 96 2146769 121 2545943 146 1642421 172 1246025 197 705244 222 662858 247 673986 272 545358 273 0
1 154
156 2 630 136
9 90 0 91 1827927 117 2259385 142 1755172 168 1494688 194 846726 219 1903158 245 999374 246 0
1 154
157 2 1287 159
10 64 0 65 1089597 89 3390750 112 2630122 136 2087503 160 1835927 184 1509119 207 1033042 231 950650 232 0
1 154
158 2 552 159
7 166 0 167 1168120 193 1455693 219 1677346 246 1643035 272 2254067 273 0
0
159 2 500 187
14 12 0 13 351763 39 515814 64 656880 90 576185 116 817657 142 1279145 167 1403174 193 1592957 219 1424523 245 2237634 270 2261653 296 2730682 297 0
2 160 158
160 2 903 4
8 39 0 40 1340000 65 1963381 90 1237925 116 990467 141 1220233 166 1086355 167 0
0
161 2 996 71
14 12 0 13 407959 39 525657 65 658373 91 617409 117 694846 143 1232889 168 2054793 194 1364327 220 1356065 246 1493207 272 942376 298 1182016 299 0
0
162 2 506 36
14 26 0 27 305167 51 356845 76 332684 100 896857 125 1383507 149 1745306 174 1668078 198 972863 223 1174840 247 846496 272 862511 296 562681 297 0
1 161
163 2 1487 98
7 29 0 30 2496629 56 2055547 81 2305029 107 1266557 133 1138978 134 0
3 164 162 161
164 2 1141 14
11 55 0 56 1048653 82 950027 108 676959 134 1350840 159 1441834 185 895554 211 979508 237 890498 263 1342744 264 0
0
165 2 1223 180
12 10 0 11 663883 35 995355 59 1116269 84 1004664 108 1130788 132 1461353 156 1642865 181 1987006 205 2260714 229 1908646 230 0
0
166 2 1306 78
7 126 0 127 887232 152 1062655 177 845219 202 1386636 227 1731090 228 0
1 165
167 2 993 118
14 12 0 13 2164955 38 2039818 64 2028806 89 1044677 115 1062444 140 741113 166 883888 191 1033931 217 761244 242 392241 268 335790 293 97717 294 0
1 165
168 2 768 16
8 56 0 57 1358533 81 1067477 105 1147494 128 1938126 152 1307367 176 1407124 177 0
