move 66
stay
stay
stay
stay
stay
stay
stay
stay
stay
stay
stay
stay
move 61
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
execute 368 52
execute 366 39
move 51
execute 366 39
execute 864 52
execute 366 39
execute 864 52
execute 366 39
execute 864 52
move 61
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 52
execute 610 39
execute 864 34
execute 610 39
move 53
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
execute 834 52
execute 610 39
move 58
execute 610 39
execute 996 52
execute 610 39
execute 996 52
execute 610 39
execute 996 52
execute 610 39
execute 996 52
execute 610 39
execute 996 52
execute 610 39
execute 996 52
move 56
execute 996 52
move 59
execute 996 52
execute 761 39
execute 996 52
execute 761 39
execute 996 52
execute 761 39
execute 996 52
execute 761 39
execute 996 52
execute 761 39
execute 996 52
execute 761 39
execute 996 52
execute 761 39
execute 996 52
move 58
execute 996 52
execute 556 39
execute 996 52
execute 996 39
execute 996 52
execute 996 39
execute 996 52
execute 996 39
execute 556 52
execute 556 39
execute 556 52
execute 556 39
execute 556 52
execute 556 39
execute 556 52
execute 556 39
execute 556 52
execute 556 39
execute 556 52
execute 556 39
execute 556 52
execute 556 39
execute 556 52
move 53
move 53
