A
300
188 293
14 5 0 6 649592 30 469036 54 500474 78 567096 102 907579 126 877769 150 1267833 174 842485 198 1379752 222 1962869 246 1722959 270 2433528 271 0
0
19 2 1296 67 0.9266907370374535 0.08476208198871808 0
12 39 0 40 1994473 64 2098542 88 2217247 113 2392795 137 2372689 161 1573318 185 1242165 210 1176994 234 808670 258 651381 259 0
2 18 20
20 2 1271 32 0.9175051681349928 0.04454599711592072 0
8 0 0 1 1672385 25 1816935 48 3159813 72 1693918 95 1611750 119 855414 120 0
0
21 2 614 86 0.9263057231615083 0.10950335210995295 0
10 2 0 3 1801957 27 1928247 52 1028689 76 598888 101 493882 125 374015 150 369882 174 566192 175 0
0
22 2 895 60 0.9274730545189924 0.06598808268375024 0
8 49 0 50 1660755 74 1621662 98 1688359 121 1414314 145 1949299 169 1309971 170 0
1 21
23 2 1412 179 0.912284737441727 0.03267895261808671 0
9 57 0 58 2493124 81 2151257 105 1605806 128 1116172 151 1224355 175 1442419 198 1265790 199 0
2 21 22
24 2 1359 45 0.9165046657786899 0.05782473062644741 0
11 15 0 16 1520441 40 1120279 63 1634438 87 1440964 111 1176075 135 1088692 159 932491 182 871689 206 842259 207 0
2 21 23
25 2 1414 142 0.9130932017212559 0.11312849968271826 0
10 124 0 125 2951481 150 1555431 175 1407768 200 1581583 224 1294208 249 1121867 274 1456746 299 1065816 300 0
0
26 2 1270 1 0.920910164250004 0.020884307295371173 0
13 20 0 21 631349 45 976144 69 1455450 93 1861441 117 1824996 141 2387321 166 931218 190 935303 214 1271583 238 2369916 262 2004067 263 0
0
27 2 604 178 0.9281941400327041 0.1056724294996665 0
9 7 0 8 425613 31 501879 54 831641 77 1180832 101 1526661 124 1455615 147 793779 148 0
1 26
28 2 686 65 0.9167336627441562 0.10680196769707379 0
8 148 0 149 2646388 175 2093481 200 1680918 226 988311 251 748768 277 646109 278 0
0
29 2 1321 159 0.9272676871105895 0.10199461005590105 0
14 9 0 10 1333834 35 1100997 59 1552907 84 1476497 109 1487232 133 1673348 158 2296603 182 2748236 207 2340865 232 2317686 256 2496978 281 2315165 282 0
1 28
30 2 1394 133 0.9113331005498643 0.033789505844040904 0
13 48 0 49 2052511 74 1232643 99 1317160 123 1014560 148 1162822 173 1436578 198 1264578 223 1752030 247 1404179 272 1240330 297 460719 298 0
2 28 29
31 2 1376 130 0.9252232690746514 0.10092827014314865 0
9 129 0 130 2031889 153 1732352 176 1936623 199 1040236 221 622216 244 527299 267 275073 268 0
0
32 2 1178 16 0.9102695043843027 0.0682720193546135 0
13 31 0 32 3363417 57 3575731 82 2053732 107 1361816 132 1411956 157 895141 182 1279171 207 1307545 232 1124919 257 895737 282 587209 283 0
2 31 34
33 2 1309 83 0.9159186102128994 0.09998923442408267 0
8 68 0 69 1340067 92 1108846 114 814726 137 656291 159 907925 182 1174785 183 0
0
34 2 596 73 0.926298391884691 0.11743967897625757 0
7 65 0 66 1636109 91 2207587 116 2204123 141 1982733 166 1379383 167 0
1 33
35 2 1216 104 0.9294559622504306 0.02595922396149663 0
14 15 0 16 2267547 40 3518833 64 2222006 88 1581295 112 1477183 136 1286544 161 1370369 185 1217881 209 834869 233 430116 257 443660 281 365960 282 0
0
36 2 1140 84 0.9165235668441103 0.11843403533448443 0
10 70 0 71 1504426 95 1938635 120 2732422 144 1643839 169 1452660 193 1741714 218 2587537 242 810325 243 0
1 35
37 2 1133 27 0.9277666332005238 0.12127144579768144 0
7 17 0 18 1179610 44 1054027 69 1059193 95 1131812 121 969371 122 0
0
38 2 1294 30 0.9240515341900429 0.13515763381702475 0
10 23 0 24 165015 48 362693 71 549944 95 666261 118 1095572 142 1868927 165 2017935 189 2438892 190 0
2 37 39
39 2 1467 141 0.913509302720396 0.05753387454359347 0
12 71 0 72 1215794 97 1538231 121 956546 146 981730 170 2012955 195 1669246 219 1694536 244 1416682 268 1567793 293 2366561 294 0
0
40 2 1046 118 0.9274158060937476 0.014113846266243945 0
9 21 0 22 1374799 47 791549 72 1239704 97 1759358 123 1167283 148 758238 173 785672 174 0
0
41 2 870 76 0.9298613863420786 0.033221057275750455 0
9 141 0 142 1143990 165 1483148 188 2055049 211 2816945 234 2298965 257 1287746 280 2117962 281 0
1 40
42 2 729 156 0.9183632077241293 0.06235398930718102 0
11 80 0 81 1271623 105 1372589 129 2287304 153 1943493 177 2228462 202 2820247 226 1794126 250 1755162 274 1807732 275 0
1 41
43 2 1149 73 0.9122997131552733 0.0027561178433211874 0
9 61 0 62 1350034 85 1963119 109 1554452 132 1432419 155 1564528 179 1768737 202 1423398 203 0
0
44 2 972 97 0.9260438713411872 0.03688404731441383 0
14 14 0 15 1400426 40 2127044 64 1686564 89 979831 114 995346 138 905676 163 563230 187 601721 212 544615 237 569750 261 599887 286 569003 287 0
0
45 2 1306 167 0.926299822461435 0.0632861957549291 0
12 38 0 39 594566 63 1177113 87 979945 112 1022510 136 935059 160 911149 184 687939 209 1143728 233 1167987 257 1324365 258 0
1 44
46 2 1421 18 0.9116482107791313 0.0742477618130479 0
13 20 0 21 620094 47 473405 72 835322 98 2240423 124 1924929 149 3057809 175 1961965 201 1865175 227 1627016 252 2141430 278 1339567 279 0
0
47 2 731 8 0.9138537188119146 0.020328406341258404 0
13 43 0 44 1585073 69 1312731 94 1190769 119 1464029 144 2041721 169 1615010 193 1175664 218 1163226 243 1641088 268 2340910 293 2025533 294 0
0
48 2 1460 172 0.9215598726002097 0.04674820213060425 0
13 2 0 3 891759 29 728619 55 781656 81 992499 107 905881 133 1270260 158 1213972 184 1026356 210 1545768 236 1102111 262 684043 263 0
1 47
49 2 772 66 0.9241646613646478 0.07892250666161665 0
14 7 0 8 515457 34 485216 60 695540 86 916626 112 669209 138 1027876 164 1278497 190 1440000 216 1844956 242 2350755 268 2944697 294 1488751 295 0
0
50 2 550 91 0.9147792857333663 0.0006974846158861902 0
13 23 0 24 1032873 49 890969 73 858028 98 1513881 122 970943 147 1536204 172 948401 196 914867 221 859006 245 656569 270 845046 271 0
0
51 2 610 143 0.9290234405423053 0.06354298762675216 0
9 86 0 87 1615275 113 1052439 140 1632975 167 1523729 193 1653577 219 2231080 246 2280637 247 0
1 50
52 2 1437 35 0.9211061553106682 0.0719502509951367 0
9 84 0 85 1535777 110 1071061 134 1130159 159 1396310 184 1179832 208 1469603 233 1408494 234 0
1 51
53 2 882 107 0.9210634578850768 0.05799437794747042 0
11 56 0 57 1824668 83 1229656 108 1233763 133 1863402 159 858075 185 1461770 210 1479078 235 907842 261 516409 262 0
1 51
54 2 659 13 0.9175109101570595 0.0868210770779594 0
13 34 0 35 823131 59 762696 83 826960 108 1225427 132 1667186 156 1504073 180 2140294 204 2384345 229 1677865 253 1569989 277 2049627 278 0
0
55 2 606 50 0.9165346486609114 0.07695294568386983 0
10 103 0 104 906502 130 778507 156 1860198 182 2023023 208 1941082 234 1195578 260 1003152 286 1519896 287 0
0
56 2 773 58 0.9177103641543736 0.03947535844088274 0
10 26 0 27 1174265 52 903388 76 932119 101 1127021 125 869704 150 779913 174 1175159 199 1065225 200 0
1 55
57 2 1009 125 0.9172363118795603 0.05223104467041363 0
8 170 0 171 740257 197 880606 222 1100784 248 1523457 273 1449826 299 2135178 300 0
0
58 2 975 116 0.913250249338798 0.06675094815105159 0
13 58 0 59 2445212 83 1302325 107 1208651 131 792769 155 1337956 179 1940692 202 1451396 226 875449 250 717975 274 1333745 298 1302208 299 0
0
59 2 1399 52 0.9156155021518031 0.06304503749897984 0
9 96 0 97 1596431 122 1776643 147 1041427 173 1162672 198 1461404 223 1071495 248 1291792 249 0
1 58
60 2 577 127 0.9187184845671055 0.035504422182963534 0
9 105 0 106 1979845 132 1717539 158 1043741 185 1024163 211 942785 237 961590 263 540555 264 0
2 58 59
61 2 1155 84 0.915023303811917 0.057713493860784705 0
8 58 0 59 1707007 86 1637979 113 1155284 141 1428427 168 1781612 195 1414802 196 0
2 58 60
62 2 683 48 0.9276413616798657 0.08481825285348982 0
9 30 0 31 1379749 57 817954 84 1015628 111 807318 137 1264284 163 983362 190 1449734 191 0
0
63 2 913 14 0.9130742802090382 0.001696234116902684 0
10 28 0 29 2017489 55 2038863 81 942780 107 1087067 133 577171 159 695235 185 844910 211 754599 212 0
1 62
64 2 1332 108 0.9261559867966689 0.11106892772549816 0
8 98 0 99 1503759 122 1584984 144 1627551 167 1376363 189 1366900 212 1242362 213 0
0
65 2 1353 174 0.9126569274544869 0.12667855504229075 0
10 79 0 80 1600965 103 721518 127 721735 150 748807 174 915330 197 1023874 221 972531 244 1319672 245 0
1 64
66 2 1182 2 0.9138027491840565 0.06142133191691182 0
11 90 0 91 1499504 116 1454033 141 1191303 167 1108058 192 1274501 217 1249541 243 1101429 268 781627 293 731974 294 0
0
67 2 1059 108 0.9106002049172501 0.05257550612183856 0
8 154 0 155 1351085 179 1425511 203 1490032 228 1456568 252 1357862 276 1760299 277 0
1 66
68 2 688 7 0.9176676816997784 0.1248739487323201 0
14 12 0 13 1724944 37 1039875 61 1442656 85 1786384 109 2156021 133 1744927 157 1478646 181 1954592 205 1288305 229 1075725 253 723025 277 604784 278 0
0
69 2 1276 100 0.920452783527488 0.03356958778583392 0
8 141 0 142 649049 168 907413 195 1754981 221 1850791 248 1112954 274 1653081 275 0
2 68 70
70 2 1304 135 0.9264538739495272 0.03079792406877808 0
11 63 0 64 411783 88 341603 113 231634 137 367955 161 575019 186 873223 210 1439014 235 1825846 259 1745358 260 0
0
71 2 621 183 0.9280108972475777 0.055834407095583884 0
9 73 0 74 2053406 98 1955053 122 1421312 147 967993 171 988453 195 990897 219 1071530 220 0
0
72 2 1328 22 0.9115071518232253 0.009780909783203078 0
13 20 0 21 1113137 45 1045053 70 756439 94 536543 118 990852 143 1519498 167 1286639 191 1636750 215 2604495 240 1939537 264 2940602 265 0
0
73 2 1264 105 0.9291422478652879 0.04655996372535295 0
8 5 0 6 382521 32 320173 58 516255 83 1022177 109 1108797 135 2504185 136 0
1 72
74 2 1425 173 0.9186427177954934 0.060758671423553325 0
8 128 0 129 1438940 153 1773799 177 1650792 202 1326595 226 2466224 250 2257582 251 0
2 72 73
75 2 1499 182 0.9275461857007 0.12536415902453482 0
11 27 0 28 192120 52 212411 76 589358 100 1038459 124 810689 148 1499367 172 1862274 196 1899186 220 1735729 221 0
0
76 2 1374 60 0.9180265688952007 0.09551426030333778 0
8 131 0 132 881191 156 1265498 181 1513952 205 1116093 230 935370 254 994346 255 0
1 75
77 2 727 69 0.9298023704076125 0.03870375559305018 0
13 27 0 28 866313 54 1533065 79 1011123 105 1045255 131 1434861 157 1481632 182 2172768 208 2203823 234 2546045 259 2645427 285 1968730 286 0
0
78 2 1072 62 0.9248256128669661 0.10821320229141393 0
15 0 0 1 2369926 26 2007932 51 1952363 76 1615158 101 1026396 126 891482 151 1267525 175 625707 200 593862 225 569975 250 697051 275 610552 300 596849 301 0
1 77
79 2 1159 135 0.919202445999743 0.11915888015877181 0
12 52 0 53 902525 77 805808 101 881997 125 718439 149 743875 173 1216008 197 1602773 221 1516314 245 1507732 269 2072273 270 0
0
80 2 1178 88 0.9286965065512649 0.027918170190766138 0
11 56 0 57 1086846 81 831743 106 1053069 131 1059092 155 1222035 179 1640064 204 1087108 229 2348098 253 2515837 254 0
0
81 2 1355 111 0.9207489838619446 0.08475209568412455 0
13 38 0 39 459272 63 672134 87 594677 112 1388857 136 1170091 160 1140179 184 1499825 208 1919073 233 996825 257 753410 281 946682 282 0
1 80
82 2 1256 6 0.9140608715722951 0.1325751064920618 0
8 90 0 91 2125418 115 1097170 139 1136530 163 1334671 187 1833461 211 2111532 212 0
0
83 2 1475 24 0.9189093705047526 0.0847166759450073 0
7 11 0 12 595983 37 1112782 63 1117764 88 1339799 113 1441930 114 0
1 82
84 2 1381 160 0.9112613301888627 0.11132021584217212 0
13 5 0 6 1731850 30 1141579 54 1650993 79 2080834 103 2157699 127 1562768 151 1609847 175 1520316 200 1489835 224 1289374 248 1273764 249 0
2 82 83
85 2 1243 133 0.9202842795159023 0.024647337500228378 0
12 3 0 4 258289 30 421273 56 589651 82 777834 108 1778398 133 3029140 159 2764137 185 2543479 211 1876775 237 1750428 238 0
0
86 2 626 115 0.9135858000840448 0.0030591421739258216 0
11 12 0 13 2773859 38 1672414 63 1410035 89 1352706 114 1374504 139 1584318 165 1251585 190 1935290 215 2802312 216 0
1 85
87 2 1495 21 0.9262707572432773 0.02616889907207289 0
11 40 0 41 1834158 67 1249922 92 1298656 117 1237394 143 1051598 169 630384 194 717429 219 1486884 245 1321861 246 0
0
88 2 644 137 0.9121978889395937 0.07662818185603947 0
12 46 0 47 883350 73 1029295 99 1155357 125 934563 151 1340570 176 1238997 202 1607918 228 1607179 254 1403559 280 1574014 281 0
0
89 2 821 58 0.9148616264480537 0.005533918679475052 0
11 45 0 46 885534 70 872338 93 1707165 117 1824404 141 2176522 164 1844466 188 1905960 211 2595364 235 2589105 236 0
0
90 2 539 162 0.912481761993994 0.13948009263141728 0
12 18 0 19 704183 45 725121 71 561962 96 515398 122 825455 148 632737 174 819441 199 1024803 225 1243387 251 3133052 252 0
0
91 2 1017 96 0.9165099250681525 0.014539559263038654 0
12 21 0 22 2907668 48 1470798 74 2241207 100 1466613 126 1771431 152 1887707 178 1413491 204 1245387 230 1377359 256 1458052 257 0
0
92 2 502 39 0.9200417163695982 0.1144010921273031 0
14 24 0 25 1463088 50 1580187 74 1286999 99 2003784 124 2125134 149 2315318 173 1624460 198 1105883 223 2555768 248 1549073 272 1496465 297 1792820 298 0
0
93 2 1437 132 0.9235027071090789 0.04692249463242907 0
9 78 0 79 1712431 106 1468218 133 1123005 159 1797710 186 1759157 213 2392781 240 1474961 241 0
0
94 2 645 112 0.9248920120538332 0.1282568807635682 0
9 117 0 118 2113778 143 1938555 168 1479362 193 1916806 217 1485210 242 1185631 267 871094 268 0
0
95 2 1331 118 0.9277054520860848 0.13312382306588397 0
8 17 0 18 1060918 43 1002831 67 1793537 92 1984584 116 2161532 141 2302553 142 0
1 94
96 2 884 42 0.9257251254607107 0.03491507528034619 0
8 82 0 83 2691343 105 1983163 128 1242203 150 1876444 173 1419056 195 1078967 196 0
2 94 95
97 2 1146 94 0.9292311226764384 0.131131590797562 0
14 14 0 15 855081 40 1083286 66 1188056 91 857645 116 1353624 142 1581813 167 1676677 193 1635218 218 1612983 243 1061877 269 1083427 294 1037412 295 0
0
98 2 1415 44 0.9279088836984248 0.08788308449783283 0
11 96 0 97 1179340 122 1240288 147 2506002 173 2210171 198 1889369 223 1598554 249 1236668 274 900745 299 1018608 300 0
1 97
99 2 1397 182 0.9211298987630867 0.13449661871593002 0
9 113 0 114 2351329 137 2293164 160 2869996 183 1129959 206 1655756 229 823475 252 1322482 253 0
1 98
100 2 1291 81 0.92280101783356 0.02998568418945527 0
14 3 0 4 1473797 28 2082820 52 2206324 76 1393585 100 1671413 124 1385535 147 1860457 171 2307810 195 1645684 219 713146 243 1090385 267 882655 268 0
0
101 2 865 33 0.9118929332993349 0.025402935133628145 0
13 29 0 30 657254 55 776038 79 485336 103 659601 128 662966 153 822051 177 1448248 201 1816155 226 2104425 251 3136038 275 2435932 276 0
1 100
102 2 1426 30 0.9150652647853056 0.14964814971117243 0
14 11 0 12 4718945 37 2631210 63 1343426 88 716453 113 638340 138 888651 164 539114 189 707831 214 727375 239 676865 265 934784 290 1255972 291 0
1 100
103 2 1482 54 0.9213047506981034 0.07126411843263673 0
13 23 0 24 1041412 49 908134 73 1363601 98 1407110 122 683535 147 719389 172 1206717 196 1806113 221 1802723 245 2655991 270 3719825 271 0
0
104 2 1421 147 0.9126332885828844 0.14496061717285663 0
8 79 0 80 2611262 106 1915540 132 2329396 159 1183967 185 885960 211 1276143 212 0
0
105 2 1101 128 0.9267662489743204 0.09350452420422982 0
8 58 0 59 950053 84 937000 109 1003486 134 851139 159 1270053 184 2031091 185 0
1 104
106 2 943 5 0.9141513011783681 0.07350881033794152 0
9 32 0 33 1633873 58 1151778 83 1431452 109 792887 134 891205 159 997714 184 862681 185 0
0
107 2 961 65 0.9278078950220299 0.08992560985166974 0
12 35 0 36 258981 61 128529 86 246995 112 397591 137 488685 162 1162907 187 967938 213 1032242 238 2608719 263 2454018 264 0
0
108 2 1258 50 0.9163122492798017 0.14281529819703087 0
10 121 0 122 1024146 145 2077924 169 1733346 192 1586420 216 1094148 239 715524 263 623317 286 354399 287 0
2 107 110
109 2 521 153 0.9206196452869724 0.13181143756358035 0
9 81 0 82 2640322 105 1391310 128 2039663 151 1458878 175 780201 198 395569 221 408625 222 0
1 107
110 2 912 133 0.9187773755548844 0.1271563628595828 0
14 2 0 3 2078987 27 2320204 51 2636846 74 1356900 98 2935569 122 1596605 146 1909910 170 2194860 194 1815940 217 1013446 241 1222448 265 1159002 266 0
0
111 2 1237 6 0.9280511688042381 0.12002748421740685 0
13 22 0 23 1335037 49 1834919 75 1368722 101 781644 127 1274656 153 882254 179 727297 205 869210 231 1996891 257 1331697 283 1242265 284 0
0
112 2 1448 158 0.9286135248398304 0.09048901037412932 0
